stop word,frequency
the,7847
be,5829
to,4863
and,4063
of,3678
a,3618
in,2590
that,1953
you,1589
for,1540
have,1376
it,1332
this,1272
with,1200
i,1188
we,1178
on,1131
as,1107
your,1001
can,969
or,831
will,698
not,693
from,671
if,648
do,641
but,619
an,618
by,612
use,596
they,585
at,574
their,561
time,523
its,514
when,513
my,499
what,478
more,478
all,477
our,461
one,452
about,451
people,432
make,422
how,405
so,402
get,396
there,390
like,373
go,369
up,359
need,344
which,336
take,326
data,304
them,298
work,294
just,290
than,287
out,284
some,282
see,277
these,276
now,276
us,274
other,273
model,267
who,266
also,264
no,263
know,263
chaincode,261
dont,259
company,257
into,255
way,250
he,249
me,247
new,242
many,236
run,235
even,235
want,233
day,231
good,229
say,228
feel,226
first,224
then,222
only,219
because,212
thing,209
most,208
may,206
look,206
create,206
find,204
mean,201
think,199
