category,term,tf-idf
industry,investor,0.0007961673381992701
industry,customer,0.0006036873223708752
industry,influencers,0.00045495276468529724
industry,startup,0.00041995639817104364
industry,hightech,0.00041995639817104364
industry,pitch,0.0004024582149139168
industry,firm,0.0003674618483996632
industry,stock,0.0003149672986282827
industry,investment,0.0003062182069997193
industry,deck,0.0002974691153711559
industry,celebrity,0.0002799709321140291
industry,economy,0.00026870888217555135
industry,productmarket,0.00026247274885690225
industry,marketer,0.00026247274885690225
industry,unemployment,0.00023622547397121203
industry,vc,0.00022747638234264862
industry,lowcode,0.00022747638234264862
industry,entrepreneur,0.00020997819908552182
industry,chinese,0.00020997819908552182
industry,brand,0.00019608485996594287
innovation,const,0.0009614081301600618
innovation,peer,0.0006882808204554989
innovation,query,0.0006555055432909513
innovation,exec,0.0006008800813500387
innovation,blockchain,0.0005899549889618562
innovation,docker,0.0005790298965736736
innovation,mongo,0.0005681048041854911
innovation,cipher,0.0005462546194091261
innovation,cli,0.000524404434632761
innovation,server,0.000502554249856396
innovation,container,0.00048616661127412226
innovation,dataset,0.0004479287879154834
innovation,e,0.0003987658721686621
innovation,iv,0.00039330332597457075
innovation,websocket,0.00038237823358638825
innovation,encryption,0.00037145314119820574
innovation,mycc,0.00036052804881002323
innovation,ledger,0.00034960295642184067
innovation,hash,0.00034960295642184067
innovation,feral,0.00034960295642184067
